,,,,,,,,,,,cJava
7555f8a817336aa7507d0a5fb10fe4647f55e328,yaml,groovy,,,,,,,FALSE,FALSE,FALSE
d93dc0b175d10bdfcde696545693268df275bc3e,yaml,groovy,,,,,,,FALSE,FALSE,FALSE
44f7e8bb846da732e5b179d90d7cbb5c5f5973b5,groovy,java,,,,,,,FALSE,TRUE,FALSE
5b56f1e513a9de16cf14e2f5b446c903588b028f,groovy,java,,,,,,,FALSE,TRUE,FALSE
9a3dce2fb3a81b01b7b3aee6d2f23b34a2c85bcc,groovy,java,,,,,,,FALSE,TRUE,FALSE
cd1d14500571da1d771b9748d6eda912edeb40bd,c++,java,,,,,,,TRUE,TRUE,TRUE
d319a7c5d31ffebcefc4aac7a52ac73665906049,groovy,java,,,,,,,FALSE,TRUE,FALSE
5e6d2e8ca382aff236df5f0e5cbff7fa0eb2355d,groovy,java,,,,,,,FALSE,TRUE,FALSE
6fd3bbedaefe926d4f77fbdd603e5192a91cf01c,java,html,,,,,,,FALSE,TRUE,FALSE
5e8f5e6a1f8f181b3d70a416a667659154091830,java,groovy,,,,,,,FALSE,TRUE,FALSE
30cdca7ad727bc79fe1946fb80ee8375d3938350,groovy,java,,,,,,,FALSE,TRUE,FALSE
f7a4fe9f2513ac0fa5f78b7aca12606efaa75da5,groovy,java,,,,,,,FALSE,TRUE,FALSE
e5b3646fe43f2e4872b60a291c4f3320d518a948,yaml,groovy,,,,,,,FALSE,FALSE,FALSE
2918980a88f98be8946107363e96f29f3c2354f9,java,html,,,,,,,FALSE,TRUE,FALSE
9425cf4f746721ca67a9e19d88ff90644acd9c9d,java,html,,,,,,,FALSE,TRUE,FALSE
878f2cbbbca2d794d8c2010368d210b3a7ca5717,c++,java,,,,,,,TRUE,TRUE,TRUE
a19246973c0eb6574fbec9a328c0e780e5dc1268,groovy,java,,,,,,,FALSE,TRUE,FALSE
785d50f516f354bf13c8927bd858b3bcca2a6cec,java,c++,,,,,,,TRUE,TRUE,TRUE
b5f4541eecfac085dfc77dc46edf054cd592a535,java,c++,,,,,,,TRUE,TRUE,TRUE
b3dc16535f4d31a45885493f4773edda60bb8a88,java,objective-c,,,,,,,FALSE,TRUE,FALSE
f36cdfe0b9f447ac57784feb15787afa08dd17c0,java,html,,,,,,,FALSE,TRUE,FALSE
3cc0feced0c52873ff68c46b40fbcc10b64fa4e5,groovy,java,,,,,,,FALSE,TRUE,FALSE
95cdde7f53d521655f18d56ed7e2d21e25d986b3,java,html,,,,,,,FALSE,TRUE,FALSE
65eba1389af06cb5a0b327e9af759175fa177faa,groovy,java,,,,,,,FALSE,TRUE,FALSE
05e1d528ab922053ae9b620f6027bd73a89ee49c,groovy,c/c++,,,,,,,TRUE,FALSE,FALSE
