From File,To File,References,From Entities,To Entities
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/codec.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/compute.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/data-type.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/error.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/field.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/file-mode.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/file-system.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/file.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/gobject-type.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/input-stream.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/ipc-options.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/local-file-system.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/metadata-version.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/output-stream.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/readable.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/reader.h,1,1,1
