106.27333333333333,0.0,106.27333333333333.1,9.477010243881292,0.0.1,300,0.0.2,0,False
6.0,1.0,7.0,0.0,0.0,1,1.0,0,False
12.673913043478262,25.608695652173914,38.28260869565217,7.263402970122968,2.847826086956522,46,0.7608695652173914,0,False
29.363636363636363,31.181818181818183,60.54545454545455,4.628470621867856,1.0909090909090908,11,1.9090909090909087,1,False
15.630434782608695,11.0,26.630434782608692,6.816608678212128,1.0434782608695652,46,1.4782608695652173,2,False
27.54545454545455,30.32727272727273,57.87272727272728,7.423882843875973,3.7818181818181817,55,1.0909090909090908,3,False
30.26923076923077,9.961538461538463,40.230769230769226,6.31612484327052,1.6538461538461535,26,0.4230769230769231,4,False
21.0,0.9090909090909092,21.90909090909091,4.985565870096095,3.363636363636364,11,0.6363636363636364,5,False
7.2,9.6,16.8,3.53350816012446,1.6,5,0.6,6,False
9.615384615384617,4.461538461538462,14.076923076923075,4.867431812131205,5.538461538461538,13,1.0,7,False
3.0,4.0,7.0,0.0,0.0,1,3.0,9,False
16.133333333333333,9.8,25.93333333333333,4.665189727024363,0.4,15,0.3333333333333333,10,False
14.0,11.0,25.0,0.0,2.0,1,3.0,11,False
14.125,2.625,16.75,3.628515680022703,0.125,8,0.375,0,False
12.333333333333336,5.333333333333333,17.666666666666668,1.6788521462491228,8.666666666666666,3,2.0,12,False
123.77777777777777,0.0,123.77777777777777,6.761890241282686,0.0,27,0.0,13,False
16.9,20.1,37.0,4.993606414577188,0.0,10,0.6,15,False
42.0,0.0,42.0,0.0,0.0,1,0.0,17,False
55.95833333333334,9.833333333333334,65.79166666666667,6.590223947165441,9.916666666666666,24,1.0,0,False
6.8,4.6,11.4,3.3237040603476475,2.8,5,0.4,1,False
11.2,4.4,15.6,2.969633340550608,3.0,5,2.0,2,False
47.0,10.5,57.5,5.498724917885902,5.0,8,0.875,3,False
19.40909090909091,12.227272727272727,31.63636363636364,5.73465523083124,5.7727272727272725,22,1.2272727272727273,4,False
7.0,0.5,7.5,1.5566707365379726,0.0,2,1.0,1,False
13.2,12.1,25.3,5.2550180091222,11.3,10,1.9,5,False
105.34666666666666,0.0,105.34666666666666,9.474351174284164,17.153333333333332,300,1.153333333333333,6,False
33.285714285714285,25.857142857142854,59.14285714285714,5.8248344243690475,10.142857142857142,7,1.8571428571428568,7,False
13.0,6.0,19.0,0.0,1.0,1,1.0,0,False
262.54545454545456,0.0,262.54545454545456,4.274959223056848,17.272727272727273,11,1.2727272727272727,8,False
103.0,0.0,103.0,0.0,0.0,1,0.0,20,False
31.0,0.0,31.0,0.0,0.0,1,0.0,21,False
77.0,0.0,77.0,0.0,0.0,1,0.0,22,False
5.5,2.0,7.5,1.0032131345797164,0.0,2,0.0,2,False
21.0,19.0,40.0,0.0,0.0,1,2.0,29,False
16.454545454545453,6.454545454545454,22.90909090909091,4.2891752797374,11.636363636363635,11,1.818181818181818,0,False
41.63636363636363,8.181818181818182,49.81818181818182,3.740236477306553,4.636363636363637,11,0.7272727272727273,3,False
9.130434782608695,6.130434782608695,15.26086956521739,5.143336728999924,10.347826086956523,23,1.9565217391304348,30,False
26.2,6.72,32.92,5.3522583137960655,2.56,25,1.72,32,False
4.0,0.0,4.0,1.0,13.0,2,0.5,0,False
2.5,2.833333333333333,5.333333333333333,3.010560343499572,2.6666666666666665,6,0.5,4,False
1.0,1.0,2.0,0.0,1.0,1,1.0,0,False
5.970588235294117,7.588235294117648,13.558823529411766,6.326779773157849,2.0294117647058822,34,0.4117647058823529,5,False
16.0,0.0,16.0,0.0,27.0,1,1.0,0,False
37.6,4.2,41.8,3.729892396352165,12.2,5,2.8,1,False
41.05714285714286,5.7142857142857135,46.771428571428565,8.997421310877638,3.2571428571428567,35,0.22857142857142854,10,False
9.0,9.0,18.0,0.0,7.0,1,1.0,0,False
5.666666666666668,4.166666666666667,9.833333333333334,3.2422513254595398,2.1666666666666665,6,1.3333333333333333,8,False
46.75,0.0,46.75,4.88818078373062,7.875,8,1.25,34,False
20.680851063829788,22.851063829787236,43.53191489361702,7.319240076721058,14.72340425531915,47,1.5957446808510638,2,False
5.675,6.9,12.575,6.459487318231899,2.625,40,0.675,37,False
15.333333333333336,2.0,17.333333333333332,3.606020976220224,3.2222222222222223,9,2.333333333333333,38,False
64.44036697247708,1.275229357798165,65.71559633027523,10.301789021845382,0.8394495412844036,218,0.3761467889908257,39,False
58.6605504587156,53.97247706422018,112.63302752293578,10.145268134951,6.825688073394495,109,1.1743119266055049,40,False
0.927536231884058,33.58695652173913,34.51449275362319,12.48626733858523,0.05797101449275361,276,0.14492753623188406,12,False
2.0,1.75,3.75,2.0339273215261002,21.0,4,1.25,43,False
5.75,2.75,8.5,2.2175177752430644,2.75,4,2.25,4,False
24.5,0.0,24.5,1.1175331256857792,0.0,2,3.0,10,False
1.0,0.0,1.0,1.0,0.0,2,1.0,12,False
4.963350785340313,66.2146596858639,71.17801047120419,9.856130844447119,0.31413612565445026,191,0.4240837696335079,13,False
21.33333333333333,87.16666666666669,108.5,2.616317842231953,3.0,6,1.8333333333333333,14,False
41.0,39.0,80.0,0.0,33.0,1,1.0,0,False
8.3,52.7,61.0,5.1577529263487945,5.8,10,1.8,46,False
39.0,42.5,81.5,1.7905561736123436,7.0,2,2.5,47,False
3.0,6.0,9.0,0.0,0.0,1,2.0,1,False
8.5,10.7,19.2,4.067699390454985,10.5,10,2.0,3,False
17.4,2.2,19.6,3.3910513975098104,8.8,5,1.4,48,False
23.0,11.5,34.5,1.056880552572158,1.0,2,3.0,15,False
14.133333333333333,14.733333333333333,28.86666666666667,4.787410689809824,4.8,15,2.4,50,False
