From File,To File
MSOfficeExcelDemo.java,AbstractComEventCallbackListener.java
MSOfficeExcelDemo.java,Factory.java
MSOfficeExcelDemo.java,IComEventCallbackCookie.java
MSOfficeExcelDemo.java,IConnectionPoint.java
MSOfficeExcelDemo.java,IUnknown.java
MSOfficeExcelDemo.java,ObjectFactory.java
MSOfficeExcelDemo.java,Ole32.java
MSOfficeExcelDemo.java,Pointer.java
MSOfficeWordDemo.java,Helper.java
MSOfficeWordDemo.java,ComIApplication.java
MSOfficeWordDemo.java,ComIDocument.java
MSOfficeWordDemo.java,ComIDocuments.java
MSOfficeWordDemo.java,ComISelection.java
MSOfficeWordDemo.java,ComWord_Application.java
MSOfficeWordDemo.java,WdOriginalFormat.java
MSOfficeWordDemo.java,WdSaveFormat.java
MSOfficeWordDemo.java,Factory.java
MSOfficeWordDemo.java,IUnknown.java
MSOfficeWordDemo.java,ObjectFactory.java
MSOfficeWordDemo.java,Ole32.java
MSOfficeWordDemo.java,Pointer.java
XlChartType.java,IComEnum.java
_Font.java,ComInterface.java
_Font.java,ComMethod.java
_Font.java,ComProperty.java
_Font.java,IDispatch.java
_Font.java,Variant.java
_ParagraphFormat.java,ComInterface.java
_ParagraphFormat.java,ComProperty.java
Bookmark.java,Range.java
Bookmark.java,ComInterface.java
Bookmark.java,ComMethod.java
Bookmark.java,ComProperty.java
Bookmark.java,IDispatch.java
Bookmark.java,Variant.java
Bookmarks.java,Bookmark.java
Bookmarks.java,ComInterface.java
Bookmarks.java,ComMethod.java
Bookmarks.java,ComProperty.java
Bookmarks.java,IDispatch.java
Bookmarks.java,Variant.java
Cell.java,Range.java
Cell.java,ComInterface.java
Cell.java,ComMethod.java
Cell.java,ComProperty.java
Cell.java,IDispatch.java
Cell.java,Variant.java
Column.java,ComInterface.java
Column.java,ComMethod.java
Column.java,ComProperty.java
Column.java,IDispatch.java
Column.java,Variant.java
Columns.java,Column.java
Columns.java,ComInterface.java
Columns.java,ComMethod.java
Columns.java,ComProperty.java
Columns.java,IDispatch.java
Columns.java,Variant.java
ComIApplication.java,ComIDocument.java
ComIApplication.java,ComIDocuments.java
ComIApplication.java,ComISelection.java
ComIApplication.java,ComInterface.java
ComIApplication.java,ComMethod.java
ComIApplication.java,ComProperty.java
ComIDocument.java,Bookmarks.java
ComIDocument.java,Range.java
ComIDocument.java,Tables.java
ComIDocument.java,WdExportCreateBookmarks.java
ComIDocument.java,WdExportFormat.java
ComIDocument.java,WdExportItem.java
ComIDocument.java,WdExportOptimizeFor.java
ComIDocument.java,WdExportRange.java
ComIDocument.java,WdSaveFormat.java
ComIDocument.java,ComMethod.java
ComIDocument.java,ComProperty.java
ComIDocuments.java,ComIDocument.java
ComIDocuments.java,WdOriginalFormat.java
ComIDocuments.java,ComMethod.java
ComISelection.java,ComInterface.java
ComISelection.java,ComMethod.java
ComWord_Application.java,ComObject.java
ComWord_Application.java,IUnknown.java
Font.java,_Font.java
Font.java,COMException.java
Font.java,ComObject.java
Font.java,IComEventCallbackCookie.java
Font.java,IComEventCallbackListener.java
Font.java,IConnectionPoint.java
Font.java,IUnknown.java
InlineShape.java,OLEFormat.java
InlineShape.java,Range.java
InlineShape.java,ComInterface.java
InlineShape.java,ComProperty.java
InlineShapes.java,InlineShape.java
InlineShapes.java,ComInterface.java
InlineShapes.java,ComMethod.java
OLEFormat.java,ComIApplication.java
OLEFormat.java,ComInterface.java
OLEFormat.java,ComMethod.java
OLEFormat.java,ComProperty.java
OLEFormat.java,IDispatch.java
OLEFormat.java,Variant.java
Paragraph.java,ParagraphFormat.java
Paragraph.java,Range.java
Paragraph.java,ComInterface.java
Paragraph.java,ComMethod.java
Paragraph.java,ComProperty.java
Paragraph.java,IDispatch.java
Paragraph.java,Variant.java
ParagraphFormat.java,_ParagraphFormat.java
ParagraphFormat.java,COMException.java
ParagraphFormat.java,ComObject.java
ParagraphFormat.java,IComEventCallbackCookie.java
ParagraphFormat.java,IComEventCallbackListener.java
ParagraphFormat.java,IConnectionPoint.java
ParagraphFormat.java,IUnknown.java
Paragraphs.java,Paragraph.java
Paragraphs.java,ComInterface.java
Paragraphs.java,ComMethod.java
Paragraphs.java,ComProperty.java
Paragraphs.java,IDispatch.java
Paragraphs.java,Variant.java
Range.java,Bookmarks.java
Range.java,Font.java
Range.java,InlineShapes.java
Range.java,ParagraphFormat.java
Range.java,Paragraphs.java
Range.java,WdInformation.java
Range.java,ComInterface.java
Range.java,ComMethod.java
Range.java,ComProperty.java
Row.java,Range.java
Row.java,ComInterface.java
Row.java,ComProperty.java
Rows.java,Row.java
Rows.java,ComInterface.java
Rows.java,ComMethod.java
Table.java,Cell.java
Table.java,Columns.java
Table.java,Range.java
Table.java,Rows.java
Table.java,ComInterface.java
Table.java,ComMethod.java
Table.java,ComProperty.java
Table.java,IDispatch.java
Table.java,Variant.java
Tables.java,Range.java
Tables.java,Table.java
Tables.java,ComInterface.java
Tables.java,ComMethod.java
Tables.java,ComProperty.java
Tables.java,IDispatch.java
Tables.java,Variant.java
WdBreakType.java,IComEnum.java
WdCollapseDirection.java,IComEnum.java
WdExportCreateBookmarks.java,IComEnum.java
WdExportFormat.java,IComEnum.java
WdExportItem.java,IComEnum.java
WdExportOptimizeFor.java,IComEnum.java
WdExportRange.java,IComEnum.java
WdInformation.java,IComEnum.java
WdOriginalFormat.java,IComEnum.java
WdSaveFormat.java,IComEnum.java
WdSaveOptions.java,IComEnum.java
Wordautomation_KB_313193_Mod.java,Helper.java
Wordautomation_KB_313193_Mod.java,XlChartType.java
Wordautomation_KB_313193_Mod.java,_Font.java
Wordautomation_KB_313193_Mod.java,_ParagraphFormat.java
Wordautomation_KB_313193_Mod.java,Bookmark.java
Wordautomation_KB_313193_Mod.java,Bookmarks.java
Wordautomation_KB_313193_Mod.java,Cell.java
Wordautomation_KB_313193_Mod.java,Column.java
Wordautomation_KB_313193_Mod.java,Columns.java
Wordautomation_KB_313193_Mod.java,ComIApplication.java
Wordautomation_KB_313193_Mod.java,ComIDocument.java
Wordautomation_KB_313193_Mod.java,ComIDocuments.java
Wordautomation_KB_313193_Mod.java,ComWord_Application.java
Wordautomation_KB_313193_Mod.java,InlineShape.java
Wordautomation_KB_313193_Mod.java,InlineShapes.java
Wordautomation_KB_313193_Mod.java,OLEFormat.java
Wordautomation_KB_313193_Mod.java,Paragraph.java
Wordautomation_KB_313193_Mod.java,Paragraphs.java
Wordautomation_KB_313193_Mod.java,Range.java
Wordautomation_KB_313193_Mod.java,Row.java
Wordautomation_KB_313193_Mod.java,Rows.java
Wordautomation_KB_313193_Mod.java,Table.java
Wordautomation_KB_313193_Mod.java,Tables.java
Wordautomation_KB_313193_Mod.java,WdBreakType.java
Wordautomation_KB_313193_Mod.java,WdCollapseDirection.java
Wordautomation_KB_313193_Mod.java,WdExportCreateBookmarks.java
Wordautomation_KB_313193_Mod.java,WdExportFormat.java
Wordautomation_KB_313193_Mod.java,WdExportItem.java
Wordautomation_KB_313193_Mod.java,WdExportOptimizeFor.java
Wordautomation_KB_313193_Mod.java,WdExportRange.java
Wordautomation_KB_313193_Mod.java,WdInformation.java
Wordautomation_KB_313193_Mod.java,WdSaveOptions.java
Wordautomation_KB_313193_Mod.java,Factory.java
Wordautomation_KB_313193_Mod.java,IDispatch.java
Wordautomation_KB_313193_Mod.java,IUnknown.java
Wordautomation_KB_313193_Mod.java,ObjectFactory.java
Wordautomation_KB_313193_Mod.java,Ole32.java
Wordautomation_KB_313193_Mod.java,Variant.java
Wordautomation_KB_313193_Mod.java,Pointer.java
Win32WindowDemo.java,DBT.java
Win32WindowDemo.java,Guid.java
Win32WindowDemo.java,Kernel32.java
Win32WindowDemo.java,User32.java
Win32WindowDemo.java,WinDef.java
Win32WindowDemo.java,WinUser.java
Win32WindowDemo.java,Wtsapi32.java
