,,,,,,,,,,,cJAva
6705513b86030fd7d609d8e03539527d2a553651,c,html,java,,,,,,TRUE,TRUE,TRUE
d9193f44420aa13d2eb2807ecd6ceca68acec283,c,java,,,,,,,TRUE,TRUE,TRUE
6ffbf31eda598511ee2f4cb3b59bb0d83743ee0c,java,c,,,,,,,TRUE,TRUE,TRUE
6c0c9e7d7cbdfd6c59628cc8e8fb652d3f5f83a2,c,java,,,,,,,TRUE,TRUE,TRUE
d8e8889d92b5c2ffa245e6bd20c3278bb408a72f,c,java,,,,,,,TRUE,TRUE,TRUE
fec78713e7b0ca50aec4e4466472574d705028a4,java,c,,,,,,,TRUE,TRUE,TRUE
d64bc68562bb3e96f33e2b0afd698dba3d277ec8,c,java,,,,,,,TRUE,TRUE,TRUE
93ebb9f7a91f08afd009a86e0ed4d8c524a4cc93,c,html,java,,,,,,TRUE,TRUE,TRUE
ca31877107c0234b3846070861b8a3f6c84a92c3,html,java,,,,,,,FALSE,TRUE,FALSE
8530ec12b7d72be6a5b97959c4e0394301eac5b4,c,java,,,,,,,TRUE,TRUE,TRUE
398b12f17670664cf15e7bfc1a3e2a9f71aaa680,c,java,,,,,,,TRUE,TRUE,TRUE
cb19b706d58f01746b0b1a387d0a2fd62e1ca52d,c,java,,,,,,,TRUE,TRUE,TRUE
b8f470ddbd78c3e22b35ef499ffeb677d6367246,c,java,,,,,,,TRUE,TRUE,TRUE
ec169478086db75b5b9d3860ee46bc09efb56f0b,java,c,assembly,,,,,,TRUE,TRUE,TRUE
c39d752ccbc29a32b4540a3fd711313e9b56184e,java,html,,,,,,,FALSE,TRUE,FALSE
9c4232b6e2bec4dc5cea0fdb63ca762315e52c44,java,html,,,,,,,FALSE,TRUE,FALSE
05291932f8c7021db1b0016617fefaeb0ee5d410,java,html,,,,,,,FALSE,TRUE,FALSE
899fcbdfcc36eb1c93830ac2cac4fbc2843a1c15,java,html,,,,,,,FALSE,TRUE,FALSE
0387196f8508471685ced4e60c54cded4a12c846,c,java,,,,,,,TRUE,TRUE,TRUE
951de1aff244eaa5839990dc3430f1b58ecff62e,yaml,python,c,assembly,php,c++,,,TRUE,FALSE,FALSE
462eaba0f4b880ef37881ca85b38754a1052ac24,c,java,,,,,,,TRUE,TRUE,TRUE
