,,,,,,,,,,,cJava
448108877b1b103230f54aff6345dd91a935b98e,yaml,groovy,java,,,,,,FALSE,TRUE,FALSE
c267cf106c6492c59db1249fd0c198797c8c3ffd,java,groovy,,,,,,,FALSE,TRUE,FALSE
8fdacbc9d9e40f483ea6ac1d16ce779588bbec64,java,groovy,,,,,,,FALSE,TRUE,FALSE
f1abfb434c03fb4784f1f2f4025e115d6dedcb23,java,groovy,,,,,,,FALSE,TRUE,FALSE
fb3bce92a4cf11bfea2b1a0c978e9ae602a43038,c++,java,,,,,,,TRUE,TRUE,TRUE
5ac8e317836e901e7b241b224b92f00cba2ed701,java,groovy,,,,,,,FALSE,TRUE,FALSE
401f1c4645f5ec715516ee9674c662448d115e66,java,groovy,,,,,,,FALSE,TRUE,FALSE
047b527e07329fdeb4fd50fd32a6a066c474b7c8,java,c++,,,,,,,TRUE,TRUE,TRUE
07f3b1f1ef63cf93d7d5fe7292ed08947d565341,c++,java,,,,,,,TRUE,TRUE,TRUE
461b3255f83ad8e5d6964ee4b71098dd745c30f9,yaml,java,,,,,,,FALSE,TRUE,FALSE
f878e438660d93f8689b864165230492e7a412d4,java,c++,,,,,,,TRUE,TRUE,TRUE
be510b32477d98f12d1cbd2a9bf51d7c7e035719,c++,java,,,,,,,TRUE,TRUE,TRUE
4aa8e91d5f4814db2d55cf8cf5e963c7cc6d02a3,c++,java,,,,,,,TRUE,TRUE,TRUE
8fa4acdcf1e47a2745940694179fa34e95825a24,java,c++,,,,,,,TRUE,TRUE,TRUE
f6f6620ccbad41df84c2be96a9f6c61a0ac3dd53,java,c++,,,,,,,TRUE,TRUE,TRUE
7d5066f5d9301d9cbd0a1ba12c3c927515b672cd,c++,java,,,,,,,TRUE,TRUE,TRUE
7fd3ce56f64da06231da2479c02ef1e592eb3b0e,groovy,java,,,,,,,FALSE,TRUE,FALSE
d2cced8b10f5e4f600a5eb9464eba0da7c8f09de,java,c++,,,,,,,TRUE,TRUE,TRUE
3f3e55f30b21ba75830f657b094dce11055b29a3,c++,groovy,,,,,,,TRUE,FALSE,FALSE
33a56e75699b051d5e6f13f143ee6d680bc459bd,groovy,java,,,,,,,FALSE,TRUE,FALSE
587c1456f884c4dd0a7b287d7c193da829d8a296,java,c++,,,,,,,TRUE,TRUE,TRUE
650cd346b0f2f6a0a13eb7fbd467c714137b8013,c++,java,,,,,,,TRUE,TRUE,TRUE
b4345a619c1f34e2390210d11476a8619cebd695,java,c++,,,,,,,TRUE,TRUE,TRUE
de8236f4bb9d70fa4e6a52679b4bf40b04c44f9b,java,c++,,,,,,,TRUE,TRUE,TRUE
08ecc8c0f00f1a7f2258c569187e36606ed73045,java,html,,,,,,,FALSE,TRUE,FALSE
4067fadc7c2db6802fa72a7e3e6d768d16a2e67b,c++,java,,,,,,,TRUE,TRUE,TRUE
928173d7b9005312aea5bc6119ea992971e1ed5a,java,groovy,,,,,,,FALSE,TRUE,FALSE
59dafe598e6dc8740f04c26cfe20add0ae10da53,c++,java,,,,,,,TRUE,TRUE,TRUE
9a3512f6bfd4f2a2e8e2a1cb38592bd3ccfee943,c++,java,,,,,,,TRUE,TRUE,TRUE
ae4ccbfe5f19aafb54ea14b1fb78043159a8bc93,c++,java,,,,,,,TRUE,TRUE,TRUE
d9a68f656782ee2fa0ca918e00522cdd25d33fdf,java,c++,,,,,,,TRUE,TRUE,TRUE
f24ba0620d88b7d71ddb089b97d29fb1b073718d,java,c++,,,,,,,TRUE,TRUE,TRUE
7ee33c6ae02bafe1f0aa664c6c574be2f15a2a66,c++,groovy,,,,,,,TRUE,FALSE,FALSE
7dab2fdf7cffde2f1b3b9e552c3a3f7c49953f13,java,c++,,,,,,,TRUE,TRUE,TRUE
f4570d73ba06a792ecc01c77442ec021b5528977,groovy,java,,,,,,,FALSE,TRUE,FALSE
e56b72aac2c261b42545d364c6e7dc44102c8c3e,groovy,java,,,,,,,FALSE,TRUE,FALSE
a679eec4ca62c3d0704986d86e77f39da974c6e7,groovy,java,,,,,,,FALSE,TRUE,FALSE
07849b9979caec79819df828f525a856aab6f350,groovy,java,,,,,,,FALSE,TRUE,FALSE
9e01a70ef806d80d8041bf40c531d40fead4161a,groovy,java,,,,,,,FALSE,TRUE,FALSE
f79c90d56464e254ce8645f886ec0ca47573ced1,c++,java,,,,,,,TRUE,TRUE,TRUE
75d8933cc4b5053080612f44f9d975f659d933d2,java,c++,,,,,,,TRUE,TRUE,TRUE
91fd701b4587210b794fa1a537c38f306a3241d6,java,c++,,,,,,,TRUE,TRUE,TRUE
c628bb44f98e7157abe748e72ad72ce22fd04677,c++,java,,,,,,,TRUE,TRUE,TRUE
01cce891dd313a0fb9d4694283f2a13fb5c43afe,java,c++,,,,,,,TRUE,TRUE,TRUE
279e98451390d0a90c5fc04eac7ddd4045180465,c++,java,,,,,,,TRUE,TRUE,TRUE
91fcd6442ccf2f40a5ac3a5378a389a6b881948f,yaml,java,,,,,,,FALSE,TRUE,FALSE
4209803a99fe1c26e5ef66c16dc70e302a428e8a,java,c++,,,,,,,TRUE,TRUE,TRUE
b578b396670aa994922f6d27bda8f9c684f869a3,java,c++,,,,,,,TRUE,TRUE,TRUE
9f47ddf73ee3a7057eb82f6ea02c8b817ac1bb36,java,c++,,,,,,,TRUE,TRUE,TRUE
a00142199f81acd00671d07d288845b5a5f15381,c++,java,,,,,,,TRUE,TRUE,TRUE
5efa30bb44aaa6fad687d7670e83097f92b9e81f,c++,java,,,,,,,TRUE,TRUE,TRUE
a99b0657a96cb3382626f2e1c015d25c07cc4724,c++,java,,,,,,,TRUE,TRUE,TRUE
c92860619ed129c9f2ca753ce4659a4d8f83ba49,c++,java,,,,,,,TRUE,TRUE,TRUE
1115fa0f6dbbff3a913fbce39ca98f9a78425c72,java,c++,,,,,,,TRUE,TRUE,TRUE
634698f1da39ec145895c052197ab0e293196933,c++,java,,,,,,,TRUE,TRUE,TRUE
10a7a5612942317aac847c673eacad91edc65e0a,c++,java,,,,,,,TRUE,TRUE,TRUE
de343bb1ee01e6a866ffd484ecd897d0cac19014,c++,java,,,,,,,TRUE,TRUE,TRUE
b6aab0c31d784c009ff2e576cf1db38fbcf2b691,groovy,java,,,,,,,FALSE,TRUE,FALSE
042a13e300915ae9db452d105293b2315cd72590,c++,java,,,,,,,TRUE,TRUE,TRUE
f63f32ddc937a5122a5f8b9b6841c185d11ecb4d,c++,java,,,,,,,TRUE,TRUE,TRUE
5f3158b1a1db9aa0f56b52e1df89a40cff759e8a,java,c++,,,,,,,TRUE,TRUE,TRUE
2d347d5538dd6107c02a896052e5d59dd79da700,java,c++,,,,,,,TRUE,TRUE,TRUE
6fcf0cbeec79d1f2491d8d0774fdb314fc419ba3,java,c++,,,,,,,TRUE,TRUE,TRUE
